ID,Title,URL,Is Premium,Acceptance %,Difficulty,Frequency %
1,Two Sum,/problems/two-sum,N,49.1%,Easy,24.33%
2,Add Two Numbers,/problems/add-two-numbers,N,39.8%,Medium,3.37%
3,Longest Substring Without Repeating Characters,/problems/longest-substring-without-repeating-characters,N,33.8%,Medium,5.56%
4,Median of Two Sorted Arrays,/problems/median-of-two-sorted-arrays,N,35.3%,Hard,14.66%
5,Longest Palindromic Substring,/problems/longest-palindromic-substring,N,32.4%,Medium,6.93%
6,Zigzag Conversion,/problems/zigzag-conversion,N,43.2%,Medium,1.27%
7,Reverse Integer,/problems/reverse-integer,N,27.2%,Medium,0.97%
8,String to Integer (atoi),/problems/string-to-integer-atoi,N,16.6%,Medium,0.69%
9,Palindrome Number,/problems/palindrome-number,N,52.9%,Easy,5.47%
10,Regular Expression Matching,/problems/regular-expression-matching,N,28.2%,Hard,4.89%
11,Container With Most Water,/problems/container-with-most-water,N,54.3%,Medium,4.51%
12,Integer to Roman,/problems/integer-to-roman,N,61.5%,Medium,8.54%
13,Roman to Integer,/problems/roman-to-integer,N,58.2%,Easy,26.56%
14,Longest Common Prefix,/problems/longest-common-prefix,N,40.8%,Easy,9.09%
15,3Sum,/problems/3sum,N,32.3%,Medium,1.29%
16,3Sum Closest,/problems/3sum-closest,N,46.1%,Medium,2.77%
17,Letter Combinations of a Phone Number,/problems/letter-combinations-of-a-phone-number,N,55.7%,Medium,6.68%
19,Remove Nth Node From End of List,/problems/remove-nth-node-from-end-of-list,N,40.0%,Medium,1.06%
20,Valid Parentheses,/problems/valid-parentheses,N,40.6%,Easy,9.06%
21,Merge Two Sorted Lists,/problems/merge-two-sorted-lists,N,61.9%,Easy,3.97%
22,Generate Parentheses,/problems/generate-parentheses,N,71.9%,Medium,0.87%
23,Merge k Sorted Lists,/problems/merge-k-sorted-lists,N,48.5%,Hard,7.35%
25,Reverse Nodes in k-Group,/problems/reverse-nodes-in-k-group,N,53.7%,Hard,1.68%
26,Remove Duplicates from Sorted Array,/problems/remove-duplicates-from-sorted-array,N,50.9%,Easy,1.33%
28,Find the Index of the First Occurrence in a String,/problems/find-the-index-of-the-first-occurrence-in-a-string,N,37.6%,Medium,3.2%
29,Divide Two Integers,/problems/divide-two-integers,N,17.3%,Medium,5.57%
31,Next Permutation,/problems/next-permutation,N,37.2%,Medium,17.98%
32,Longest Valid Parentheses,/problems/longest-valid-parentheses,N,32.7%,Hard,1.76%
33,Search in Rotated Sorted Array,/problems/search-in-rotated-sorted-array,N,38.7%,Medium,0.5%
34,Find First and Last Position of Element in Sorted Array,/problems/find-first-and-last-position-of-element-in-sorted-array,N,41.6%,Medium,0.74%
35,Search Insert Position,/problems/search-insert-position,N,42.0%,Easy,3.18%
37,Sudoku Solver,/problems/sudoku-solver,N,56.8%,Hard,9.62%
38,Count and Say,/problems/count-and-say,N,51.3%,Medium,8.87%
39,Combination Sum,/problems/combination-sum,N,67.8%,Medium,1.77%
41,First Missing Positive,/problems/first-missing-positive,N,36.6%,Hard,2.63%
42,Trapping Rain Water,/problems/trapping-rain-water,N,58.8%,Hard,18.98%
43,Multiply Strings,/problems/multiply-strings,N,38.8%,Medium,10.34%
45,Jump Game II,/problems/jump-game-ii,N,38.6%,Medium,6.14%
46,Permutations,/problems/permutations,N,74.9%,Medium,1.81%
48,Rotate Image,/problems/rotate-image,N,70.1%,Medium,1.75%
49,Group Anagrams,/problems/group-anagrams,N,66.5%,Medium,5.08%
50,"Pow(x, n)",/problems/powx-n,N,32.8%,Medium,4.44%
51,N-Queens,/problems/n-queens,N,63.1%,Hard,2.54%
53,Maximum Subarray,/problems/maximum-subarray,N,50.1%,Medium,6.27%
54,Spiral Matrix,/problems/spiral-matrix,N,43.8%,Medium,5.09%
55,Jump Game,/problems/jump-game,N,38.5%,Medium,3.03%
56,Merge Intervals,/problems/merge-intervals,N,46.0%,Medium,23.57%
57,Insert Interval,/problems/insert-interval,N,38.0%,Medium,25.32%
60,Permutation Sequence,/problems/permutation-sequence,N,43.8%,Hard,4.89%
62,Unique Paths,/problems/unique-paths,N,62.3%,Medium,21.44%
63,Unique Paths II,/problems/unique-paths-ii,N,39.1%,Medium,4.71%
64,Minimum Path Sum,/problems/minimum-path-sum,N,60.7%,Medium,16.11%
66,Plus One,/problems/plus-one,N,43.4%,Easy,6.44%
